District,Hotels,Restaurants,Shopping_Places,Religious_Attractions,Cultural_Attractions,Educational_Places,Fun_And_Family,Hotel_Budget_Range,Restaurant_Budget_Range,Hotel_Budget,Restaurant_Budget
Jaffna,Tilko Jaffna City Hotel,Hotel Rolex,Jaffna Dry Fish Market,Kathiramalai Kannan Temple,Alfred Duraiappah Stadium,Jaffna College,Delft Island (Neduntheevu),,,,
Jaffna,Gnanams Hotel,Malayan Café,Jaffna Clothing Market,Velautha Pillaiyar Kovil,Jaffna Archaeological Museum,"St. Patrick's College, Jaffna",Nagadeepa Vihara,,,,
Jaffna,Lux Etoiles,Sri Krishna Restaurant,Jaffna Textile Market,Kanthaswamy Temple,Kantharodai Archaeological Site,Jaffna Central Library,Nilavarai Bottomless Well,,,,
Jaffna,Subhas Hotel,Ponnusamy Restaurant,Jaffna Fabric Market,Kantharodai Buddhist Temple,Chankanai Pillaiyar Kovil Archaeological Site,Jaffna Science Association,Jaffna Archaeological Museum,,,,
Jaffna,Green Grass Hotel & Resorts,Adayalam Restaurant,Jaffna Saree Shops,Manthiri Manai,Ariyalai Archaeological Site,Jaffna Educational Society,Kadurugoda Vihara,,,,
Jaffna,Green Grass Inn,Kamala Restaurant,Jaffna Jewelry Stores,Thirunelveli Pillaiyar Kovil,Vallipuram Archaeological Site,Jaffna Youth Educational Foundation,Jaffna Clock Tower,,,,
Jaffna,Green Grass Villa,Nalaas Restaurant,Jaffna Gold Shops,Kurunthoor Maha Vishnu Kovil,Chundikuli Archaeological Site,Jaffna International Trade Fair,Jaffna Lagoon,,,,
Jaffna,Green Grass Lodge,Hotel Park,Jaffna Silverware Shops,Nagam Kovil,Kankesanthurai Fort,Jaffna District Secretariat,Jaffna Fish Market,,,,
Jaffna,Green Grass Residency,Thees Hotel,Jaffna Gemstone Dealers,Kailasanathar Temple,Kopay Christian Cemetery,Jaffna District Court,Nainativu Island,,,,
Jaffna,Green Grass Guest House,Prince Café,Jaffna Handicrafts Center,Parameshwara Kovil,Jaffna Municipal Council Building,Jaffna Municipal Council,Jaffna Market,,,,
Jaffna,Green Grass Suites,Shankari Restaurant,Jaffna Artisan Market,Vallipuram Kovil,Jaffna Market,Jaffna Teaching Hospital,Jaffna Dutch Fort,,,,
Jaffna,Green Grass Homestay,Sivan Restaurant,Jaffna Craft Shops,Manthai Naguleswaram Kovil,Jaffna Railway Station,Jaffna University Library,Jaffna Library Park,,,,
Jaffna,Jetwing Sea,Malayan Mess,Jaffna Pottery Village,Chavakacheri Sivan Kovil,Tellippalai Cultural Centre,Jaffna University Science Faculty,Jaffna Municipal Park,,,,
Jaffna,Jetwing Blue,Malar Restaurant,Jaffna Batik Showrooms,Meenakshi Sundareswarar Kovil,Point Pedro Cultural Centre,Jaffna University Engineering Faculty,Jaffna Cultural Centre,,,,
Jaffna,Jetwing Lagoon,Nila Restaurant,Jaffna Handloom Outlets,Thalaimannar Sivan Kovil,Kandarodai Buddhist Cultural Centre,Jaffna University Arts Faculty,Jaffna Public Park,,,,
Jaffna,Jetwing Yala,Chola Restaurant,Jaffna Tailoring Shops,Aanaikoddai Naguleswaram Kovil,Jaffna Art Gallery,Jaffna University Medical Faculty,Subramaniam Park,,,,
Jaffna,Jetwing Kaduruketha,Aahaaram Restaurant,Jaffna Shoe Stores,Pandatharippu Naguleswaram Kovil,Jaffna Craft Village,Jaffna University Agriculture Faculty,Jaffna Food Street,,,,
Jaffna,Jetwing Colombo Seven,Yaal Restaurant,Jaffna Leather Goods Shops,Kokkuvil Aiyanaar Kovil,Manipay Hindu College,Jaffna University Computer Science Department,Jaffna Vegetable Market,,,,
Jaffna,Jetwing Beach,Velanai Restaurant,Jaffna Bag Boutiques,Thiruketheeswaram Kovil,Nallur Kandaswamy Temple Annual Festival,Jaffna University Business School,Jaffna Mini World's End,,,,
Jaffna,Jetwing Kurulubedda,Mahal Restaurant,Jaffna Watch Outlets,Pungudutheevu Kandaswamy Kovil,Jaffna Music Festival,Jaffna University Research Center,Jaffna Beach Park,,,,
Jaffna,Jetwing Lake,Suganthi Restaurant,Jaffna Electronics Stores,Periyakadai Pillaiyar Kovil,Jaffna International Cinema Festival,Jaffna University Student Union,Maamaangam Beach,,,,
Jaffna,Jetwing St. Andrew's,Aalai Restaurant,Jaffna Mobile Phone Shops,Gurunagar Sivan Kovil,Jaffna Food Festival,Jaffna University Sports Complex,Charty Beach,,,,
Jaffna,Jetwing Ayurveda Pavilions,Sandya Restaurant,Jaffna Computer Dealers,Myliddy Munneswaram Kovil,Jaffna Literature Festival,Jaffna University Hostels,Kankesanthurai Beach,,,,
Jaffna,Jetwing Surf,Vasantha Bhavan,Jaffna Appliance Stores,Navakkiri Pillaiyar Kovil,Jaffna Dance Festival,Jaffna University Faculty of Law,Point Pedro Beach,,,,
Jaffna,Jetwing Safari Camp,Nitharsan Restaurant,Jaffna Furniture Shops,Karaveddy Naguleswaram Kovil,Jaffna Drama Festival,Jaffna University Faculty of Management Studies,Thondamanaru Lagoon,,,,
Jaffna,Jetwing Warwick Gardens,Mayuri Restaurant,Jaffna Home Decor Stores,Nelliady Paththirakali Amman Kovil,Jaffna Cultural Dance Performances,Jaffna University Faculty of Social Sciences,Thirunelveli Beach,,,,
Jaffna,Jetwing Thalahena Villas,Mani's Restaurant,Jaffna Kitchenware Shops,Pannai Naguleswaram Kovil,Jaffna Cultural Music Performances,Jaffna University Faculty of Languages,Thavady Beach,,,,
Jaffna,Jetwing Jaffna - Thal Sevana Resort,Durga Restaurant,Jaffna Grocery Stores,Achchuveli Kathiramalai Kannan Kovil,Jaffna Cultural Drama Performances,Jaffna University Faculty of Education,Casuarina Beach Park,,,,
Jaffna,Jetwing Arugam Bay,Annapoorna Restaurant,Jaffna Supermarkets,Atchuveli Pillaiyar Kovil,Jaffna Cultural Art Exhibitions,Jaffna University Faculty of Fine Arts,Jaffna Science Park,,,,
Jaffna,Jetwing Vil Uyana,Thamilini Restaurant,Jaffna Bakery Shops,Ariyalai Pillaiyar Kovil,Jaffna Cultural Craft Demonstrations,Jaffna University Faculty of Environmental Studies,Jaffna Sports Complex,,,,
Jaffna,Jetwing Kandy Gallery,Raja Restaurant,Jaffna Sweet Stores,Sandilipay Sivan Kovil,Jaffna Cultural Cooking Demonstrations,Jaffna University Faculty of Applied Sciences,Jaffna Swimming Pool,,,,
Jaffna,Jetwing Era Beach,Bharath Restaurant,Jaffna Snack Shops,Kankesanthurai Paththirakali Amman Kovil,Jaffna Cultural Workshops,Jaffna University Faculty of Health Sciences,Jaffna Go-Karting Track,,,,
Jaffna,Jetwing Lighthouse,Velanai Hotel and Restaurant,Jaffna Tea Shops,Pungudutheevu Muthumariamman Kovil,Jaffna Cultural Lectures,Jaffna University Faculty of Veterinary Medicine,Jaffna Paintball Arena,,,,
Jaffna,Jetwing Thalahena Villas,Sooriya Restaurant,Jaffna Spice Markets,Inuvil Kannaki Amman Kovil,Jaffna Cultural Tours,Jaffna University Faculty of Islamic Studies,Jaffna Children's Park,,,,
Jaffna,Jetwing Jaffna - Kailasapathy Hall,Vaani Restaurant,Jaffna Herb Stores,Chunnakam Sivan Kovil,Jaffna Cultural Heritage Walks,Jaffna University Faculty of Buddhist Studies,Jaffna Fun Fair,,,,
Jaffna,Thambu Illam Guest House,Vasantha Restaurant,Jaffna Health Food Shops,Mathagal Murugan Kovil,Jaffna Cultural Street Performances,Jaffna University Faculty of Hindu Studies,Jaffna Amusement Park,,,,
Jaffna,Green Grass Residency,Sangam Restaurant,Jaffna Organic Markets,Kopay Kanthaswamy Kovil,Jaffna Cultural Storytelling Sessions,Jaffna University Faculty of Christian Studies,Jaffna Zoo,,,,
Jaffna,Pillaiyar Inn and Beach Resort,KKS Hot Chicken Restaurant,Jaffna Nut Sellers,Chankanai Murugan Kovil,Jaffna Cultural Poetry Readings,Jaffna University Faculty of Jewish Studies,Jaffna Mini Golf Course,,,,
Jaffna,Tilko Jaffna City Hotel,Vinayaga Restaurant,Jaffna Cosmetics Shops,Navaly Neeraviyadi Pillaiyar Kovil,Jaffna Cultural Puppet Shows,Jaffna University Faculty of Sikh Studies,Jaffna Bowling Alley,,,,
Jaffna,Gnanams Hotel,Arun Restaurant,Jaffna Perfume Stores,Chundikuli Mariamman Kovil,Jaffna Cultural Folk Music Sessions,Jaffna University Faculty of Taoist Studies,Jaffna Ice Skating Rink,,,,
Jaffna,Lux Etoiles,Sri Murugan Mess,Jaffna Beauty Salons,Kaddudai Naguleswaram Kovil,Jaffna Cultural Folk Dance Workshops,Jaffna University Faculty of Confucian Studies,Jaffna Trampoline Park,,,,
Jaffna,Subhas Hotel,Aruna Restaurant,Jaffna Hairdressers,Navakkiri Kanthaswamy Kovil,Jaffna Cultural Folk Art Classes,Jaffna University Faculty of Shinto Studies,Jaffna Climbing Gym,,,,
Jaffna,Green Garden Resort,Gandhi Restaurant,Jaffna Pharmacy,Urumpirai Sivan Kovil,Jaffna Cultural Puppet Making Workshops,Jaffna University Faculty of Jain Studies,Jaffna Horse Riding Club,,,,
Jaffna,Yal's Resort,Velautham Restaurant,Jaffna Medical Supply Stores,Nainativu Nagapooshani Amman Kovil,Jaffna Cultural Traditional Dance Performances,Jaffna University Faculty of Zoroastrian Studies,Jaffna Cycling Track,,,,
Jaffna,Kopay Resort,Valli Restaurant,Jaffna Bookstores,Vannarpannai Naguleswaram Kovil,Jaffna Cultural Traditional Music Performances,Jaffna University Faculty of Bahá'í Studies,Jaffna Jogging Trail,,,,
Jaffna,Guru Hotel,Ravi Restaurant,Jaffna Stationery Shops,Achchuveli Murugan Kovil,Jaffna Cultural Traditional Art Exhibitions,Jaffna University Faculty of Indigenous Studies,Jaffna Picnic Spot,,,,
Jaffna,Mahaluxmi Guest House,Pathy Restaurant,Jaffna Arts and Crafts Stores,Suthumalai Murugan Kovil,Jaffna Cultural Traditional Craft Demonstrations,Jaffna University Faculty of African Studies,Jaffna Barbecue Area,,,,
Jaffna,Palm Village Guest House,Kani Restaurant,Jaffna Musical Instrument Shops,Karampon Kannaki Amman Kovil,Jaffna Cultural Traditional Cooking Demonstrations,Jaffna University Faculty of Latin American Studies,Jaffna Camping Site,,,,
Jaffna,Janaki Hotel,Lingam Restaurant,Jaffna Toy Stores,Valikamam Sivan Kovil,Jaffna Cultural Traditional Workshops,Jaffna University Faculty of European Studies,Jaffna Bird Watching Area,,,,
Jaffna,Nallur Inn,Nanda Restaurant,Jaffna Sports Equipment Shops,Maruthanamadam Pillaiyar Kovil,Jaffna Cultural Traditional Lectures,Jaffna University Faculty of Middle Eastern Studies,Jaffna Wildlife Sanctuary,,,,
Jaffna,The Margosa Residencies,Rani Restaurant,Jaffna Pet Shops,Karampon Mariamman Kovil,Jaffna Cultural Traditional Tours,Jaffna University Faculty of Southeast Asian Studies,Jaffna Nature Reserve,,,,
Jaffna,Yaal Guest,Aruvi Restaurant,Jaffna Flower Shops,Manipai Pillaiyar Kovil,Jaffna Cultural Traditional Heritage Walks,Jaffna University Faculty of Central Asian Studies,Jaffna Botanical Garden,,,,
Jaffna,Nallur Kandasamy Rest,Arasaa Restaurant,Jaffna Garden Centers,Sandilipay Naguleswaram Kovil,Jaffna Cultural Traditional Street Performances,Jaffna University Faculty of South Asian Studies,Jaffna Butterfly Park,,,,
Jaffna,Thirumurugan's Hotel,Priya Restaurant,Jaffna Hardware Stores,Manipay Sivan Kovil,Jaffna Cultural Traditional Storytelling Sessions,Jaffna University Faculty of East Asian Studies,Jaffna Eco Park,,,,
Jaffna,Ramya Hotel,Anandham Restaurant,Jaffna Construction Material Suppliers,Kokuvil Kandaswamy Kovil,Jaffna Cultural Traditional Poetry Readings,Jaffna University Faculty of Australian Studies,Jaffna Flower Garden,,,,
Jaffna,Aathaya Residency,Roopa Restaurant,Jaffna Auto Parts Stores,Kodikamam Pillaiyar Kovil,Jaffna Cultural Traditional Puppet Shows,Jaffna University Faculty of North American Studies,Jaffna Herbal Garden,,,,
Jaffna,Sajjana Hotel,Samy Restaurant,Jaffna Bicycle Shops,Puthukkudiyiruppu Naguleswaram Kovil,Jaffna Cultural Traditional Folk Music Sessions,Jaffna University Faculty of Pacific Studies,Jaffna Orchid Garden,,,,
Jaffna,Ashok Hotel,Suguna Restaurant,Jaffna Motorcycle Dealers,Maviddapuram Kandaswamy Kovil,Jaffna Cultural Traditional Folk Dance Workshops,Jaffna University Faculty of Caribbean Studies,Jaffna Bonsai Garden,,,,
Jaffna,Bharathy Hotel,Subha Restaurant,Jaffna Car Dealerships,Thenmaradchi Kali Kovil,Jaffna Cultural Traditional Folk Art Classes,Jaffna University Faculty of Arctic Studies,Jaffna Fruit Orchard,,,,
Jaffna,Sutha Hotel,Kalyani Restaurant,Jaffna Tire Shops,Kalmunai Kannaki Amman Kovil,Jaffna Cultural Traditional Puppet Making Workshops,Jaffna University Faculty of Antarctic Studies,Jaffna Vegetable Farm,,,,
Jaffna,Niththiyanthi Hotel,Nila's Restaurant,Jaffna Gas Stations,Alaveddy Naguleswaram Kovil,Jaffna Cultural Heritage Sites,Jaffna University Faculty of Maritime Studies,Jaffna Dairy Farm,,,,
Jaffna,Sangeetha Hotel,Vairava Restaurant,Jaffna Auto Repair Shops,Karainagar Sivan Kovil,Jaffna Cultural Historic Buildings,Jaffna University Faculty of Aviation Studies,Jaffna Poultry Farm,,,,
Jaffna,Sakunthala Hotel,Gnanam Restaurant,Jaffna Petrol Pumps,Puloly Sivan Kovil,Jaffna Cultural Religious Festivals,Jaffna University Faculty of Space Studies,Jaffna Fish Farm,,,,
Jaffna,Balakrishnan Hotel,Jaffna Nila Restaurant,Jaffna Transport Companies,Sakkottai Sivan Kovil,Jaffna Cultural Traditional Practices,Jaffna University Faculty of Environmental Studies,Jaffna Crab Farm,,,,
Jaffna,Kovinthan Hotel,Sivam Restaurant,Jaffna Travel Agencies,Varani Neeraviyadi Pillaiyar Kovil,Jaffna Cultural Traditional Clothing,Jaffna University Faculty of Sustainable Development,Jaffna Oyster Farm,,,,
Jaffna,Thambu Hotel,Sutha Restaurant,Jaffna Tour Operators,Neervely Sivan Kovil,Jaffna Cultural Traditional Cuisine,Jaffna University Faculty of Urban Planning,Jaffna Snail Farm,,,,
Jaffna,Yarl Hotel,Kumari Restaurant,Jaffna Money Exchange Centers,Uduvil Sivan Kovil,Jaffna Cultural Traditional Music Instruments,Jaffna University Faculty of Rural Development,Jaffna Bee Farm,,,,
Jaffna,Gnanam Hotel,Ambal Restaurant,Jaffna Banks,Kalliyankadu Naguleswaram Kovil,Jaffna Cultural Traditional Dance Forms,Jaffna University Faculty of Disaster Management,Jaffna Silk Farm,,,,
Jaffna,Saagaa Hotel,Tharshini Restaurant,Jaffna ATMs,Sandilipay Murugan Kovil,Jaffna Cultural Traditional Art Styles,Jaffna University Faculty of Climate Change Studies,Jaffna Batik Workshop,,,,
Jaffna,Sumathi Hotel,Arunachalam Restaurant,Jaffna Post Office,Kattuvilai Kanthaswamy Kovil,Jaffna Cultural Traditional Craft Techniques,Jaffna University Faculty of Water Resources Management,Jaffna Pottery Studio,,,,
Jaffna,Arul Hotel,Tamil Selvi Restaurant,Jaffna Courier Services,Puthukkudiyiruppu Paththirakali Amman Kovil,Jaffna Cultural Traditional Agricultural Practices,Jaffna University Faculty of Energy Studies,Jaffna Handicrafts Market,,,,
Jaffna,Sri Ketheswara Hotel,Sugirtha Restaurant,Jaffna Internet Cafes,Pandatharippu Murugan Kovil,Jaffna Cultural Traditional Fishing Methods,Jaffna University Faculty of Environmental Engineering,Jaffna Art Gallery,,,,
Jaffna,Akathiyar Hotel,Dhanalakshmi Restaurant,Jaffna Printing Shops,Thondamanaru Sivan Kovil,Jaffna Cultural Traditional Boat Making,Jaffna University Faculty of Agriculture,Jaffna Music Academy,,,,
Jaffna,Sivaguru Hotel,Sri Balaji Restaurant,Jaffna Photocopy Centers,Vayavilan Naguleswaram Kovil,Jaffna Cultural Traditional Palm Weaving,Jaffna University Faculty of Forestry,Jaffna Dance School,,,,
Jaffna,Valliammai Hotel,Kalpana Restaurant,Jaffna Business Centers,Kachchai Naguleswaram Kovil,Jaffna Cultural Traditional Pottery Making,Jaffna University Faculty of Fisheries,Jaffna Drama Club,,,,
Jaffna,Nallaiyan Hotel,Sri Sai Restaurant,Jaffna Conference Facilities,Palaly Kannaki Amman Kovil,Jaffna Cultural Traditional Wood Carving,Jaffna University Faculty of Wildlife Conservation,Jaffna Puppet Theatre,,,,
Jaffna,Arali Hotel,Ratha Restaurant,Jaffna Event Spaces,Manipay Mariamman Kovil,Jaffna Cultural Traditional Stone Sculpting,Jaffna University Faculty of Marine Biology,Jaffna Storytelling Sessions,,,,
Jaffna,Periyathambi Hotel,Jeevan Restaurant,Jaffna Party Supplies Stores,Vadamarachchi Kandaswamy Kovil,Jaffna Cultural Traditional Jewelry Making,Jaffna University Faculty of Botany,Jaffna Cooking Classes,,,,
Jaffna,Tamilmani Hotel,Ambika Restaurant,Jaffna Costume Shops,Tellipalai Sivan Kovil,Jaffna Cultural Traditional Textile Weaving,Jaffna University Faculty of Zoology,Jaffna Yoga Retreat,,,,
Jaffna,Ganeshan Hotel,Sanmuga Restaurant,Jaffna Wedding Planners,Madduvil Naguleswaram Kovil,Jaffna Cultural Traditional Embroidery,Jaffna University Faculty of Microbiology,Jaffna Meditation Center,,,,
Jaffna,Parameswari Hotel,Karthik Restaurant,Jaffna Bridal Boutiques,Navatkuli Murugan Kovil,Jaffna Cultural Traditional Batik Making,Jaffna University Faculty of Genetics,Jaffna Wellness Spa,,,,
Jaffna,Madurai Hotel,Anu Restaurant,Jaffna Event Decorators,Valvettithurai Paththirakali Amman Kovil,Jaffna Cultural Traditional Mask Making,Jaffna University Faculty of Biotechnology,Jaffna Massage Parlor,,,,
Jaffna,Vairavan Hotel,Sanjai Restaurant,Jaffna Photography Studios,Kaithady Kannaki Amman Kovil,Jaffna Cultural Traditional Toy Making,Jaffna University Faculty of Biochemistry,Jaffna Herbal Medicine Clinic,,,,
Jaffna,Uma Hotel,Balu Restaurant,Jaffna Video Production Companies,Karampon Sivan Kovil,Jaffna Cultural Traditional Musical Instrument Making,Jaffna University Faculty of Immunology,Jaffna Health Club,,,,
Jaffna,Sathiyan Hotel,Anantha Restaurant,Jaffna Music Stores,Thirunelveli Pillaiyar Kovil,Jaffna Cultural Traditional Dance Costume Making,Jaffna University Faculty of Pharmacology,Jaffna Family Resort,,,,
Jaffna,Lakshman Hotel,Prabha Restaurant,Jaffna Dancewear Shops,Chunnakam Mariamman Kovil,Jaffna Cultural Traditional Artisan Workshops,Jaffna University Faculty of Medicine,Jaffna Beach Resort,,,,
Jaffna,Rajeswari Hotel,Saranya Restaurant,Jaffna Martial Arts Supply Stores,Araly Sivan Kovil,Jaffna Cultural Traditional Art Galleries,Jaffna University Faculty of Dentistry,Jaffna Lake Resort,,,,
Jaffna,Selvamani Hotel,Bhavana Restaurant,Jaffna Yoga Studios,Vasavilan Naguleswaram Kovil,Jaffna Cultural Traditional Handicraft Markets,Jaffna University Faculty of Nursing,Jaffna Eco Resort,,,,
Jaffna,Thilakaraj Hotel,Arul Restaurant,Jaffna Fitness Centers,Vallai Naguleswaram Kovil,Jaffna Cultural Traditional Street Markets,Jaffna University Faculty of Pharmacy,Jaffna Farmstay,,,,
Jaffna,Mano Hotel,Selva Restaurant,Jaffna Sports Clubs,Kodikamam Naguleswaram Kovil,Jaffna Cultural Traditional Food Markets,Jaffna University Faculty of Physiotherapy,Jaffna Treehouse Accommodation,,,,
Jaffna,Sakthi Hotel,Deepa Restaurant,Jaffna Health Clinics,Thondamannar Neeraviyadi Pillaiyar Kovil,Jaffna Cultural Traditional Clothing Markets,Jaffna University Faculty of Occupational Therapy,Jaffna Homestay,,,,
Jaffna,Navaneetham Hotel,Rajan Restaurant,Jaffna Dental Clinics,Elalai Sivan Kovil,Jaffna Cultural Traditional Music Stores,Jaffna University Faculty of Psychology,Jaffna Guesthouse,,,,
Jaffna,Muthukumar Hotel,Valluvar Restaurant,Jaffna Eye Clinics,Kovilkulam Naguleswaram Kovil,Jaffna Cultural Traditional Dance Schools,Jaffna University Faculty of Social Work,Jaffna Villa Rental,,,,
Jaffna,Ananthi Hotel,Gowri Restaurant,Jaffna Veterinary Clinics,Kudaththanai Murugan Kovil,Jaffna Cultural Traditional Art Schools,Jaffna University Faculty of Counselling,Jaffna Bed and Breakfast,,,,
Jaffna,Ramesh Hotel,Thilaga Restaurant,Jaffna Hospitals,Mulliyan Naguleswaram Kovil,Jaffna Cultural Traditional Craft Centers,Jaffna University Faculty of Public Health,Jaffna Camping Grounds,,,,
Kilinochchi,Peace Haven Resort,Spice Garden Restaurant,Kilinochchi Central Market,Kilinochchi Kandasamy Kovil,Kilinochchi War Memorial,Kilinochchi Central College,Kilinochchi War Memorial,,,,
Kilinochchi,Kilinochchi Grand Hotel,Coconut Grove,Kilinochchi Municipal Market,Thirunagar Sivan Kovil,Iranamadu Tank,Kilinochchi Hindu College,Iranaimathanagar War Memorial,,,,
Kilinochchi,Golden Sun Hotel,Mango Tree Restaurant,Kilinochchi Vegetable Market,Kanagambihai Amman Kovil,Kilinochchi Central College,Kilinochchi Maha Vidyalayam,Elephant Pass War Memorial,,,,
Kilinochchi,Green Oasis Inn,Seafood Delight,Kilinochchi Fruit Market,Naguleswaram Kovil,Elephant Pass,Kilinochchi Mahajana College,Kilinochchi Central Bus Stand,,,,
Kilinochchi,Paradise Rest,Green Leaf Restaurant,Kilinochchi Clothing Market,Muthumariamman Kovil,Iranamadu Junction,Kilinochchi South Maha Vidyalayam,Kilinochchi Public Library,,,,
Kilinochchi,Tranquil Retreat,Curry Junction,Kilinochchi Textile Market,Pillaiyar Kovil,Kanakambihai Amman Temple,Kilinochchi Vipulananda College,Kilinochchi Central Market,,,,
Kilinochchi,Lotus Garden Hotel,Tamarind Tree,Kilinochchi Saree Shops,St. Theresa's Church,Iranamadu Airbase,Kilinochchi National College of Education,Iranamadu Tank,,,,
Kilinochchi,Serenity Lodge,Bamboo Garden,Kilinochchi Jewelry Stores,Koneswaram Kovil,Kilinochchi Railway Station,Kilinochchi Technical College,Kilinochchi Clock Tower,,,,
Kilinochchi,Palm Grove Resort,Royal Spice,Kilinochchi Gold Shops,Ayyanar Kovil,Kilinochchi Market,Kilinochchi District Secretariat,Kilinochchi Railway Station,,,,
Kilinochchi,Sunrise Inn,Banana Leaf Restaurant,Kilinochchi Silverware Shops,Velavar Kovil,Elephant Pass War Memorial,Kilinochchi Divisional Secretariat,Kilinochchi District Secretariat,,,,
Kilinochchi,Sunset View Hotel,Chilli & Spice,Kilinochchi Handicrafts Center,Nainativu Nagapooshani Amman Kovil,Iranamadu Tank Fishing Harbor,Kilinochchi General Hospital,Kilinochchi Divisional Secretariat,,,,
Kilinochchi,Mountain View Lodge,Lotus Restaurant,Kilinochchi Craft Shops,Kilinochchi Murugan Kovil,Kanagambihai Amman Kovil,Kilinochchi Public Library,Kilinochchi General Hospital,,,,
Kilinochchi,Starlight Resort,Peppers Restaurant,Kilinochchi Pottery Village,Mathakal Bhadrakali Kovil,Kanagambihai Amman Temple,Kilinochchi Archaeological Museum,Kilinochchi Urban Council Playground,,,,
Kilinochchi,Blue Lagoon Hotel,Lemon Grass,Kilinochchi Batik Showrooms,Kali Kovil,Pooneryn Pier,Kilinochchi War Memorial Museum,Kilinochchi Urban Council Stadium,,,,
Kilinochchi,River Bank Retreat,Pearl Restaurant,Kilinochchi Handloom Outlets,Manthai Aadhi Kesavan Kovil,Kilinochchi Kandasamy Kovil,Kilinochchi Railway Station,Kilinochchi Urban Council Swimming Pool,,,,
Kilinochchi,Ocean Breeze Inn,Cinnamon Restaurant,Kilinochchi Tailoring Shops,Manthai Vishnu Kovil,Thirunagar Sivan Kovil,Kilinochchi Clock Tower,Kilinochchi Urban Council Auditorium,,,,
Kilinochchi,Hilltop Haven,Coral Restaurant,Kilinochchi Shoe Stores,Mathagal Kandasamy Kovil,Kilinochchi Central Bus Stand,Kilinochchi Urban Council Office,Kilinochchi Urban Council Library,,,,
Kilinochchi,Whispering Pines Hotel,Salt & Pepper,Kilinochchi Leather Goods Shops,Munrady Sivan Kovil,Chundikulam Bird Sanctuary,Kilinochchi Rural Development Society Office,Kilinochchi Urban Council Park,,,,
Kilinochchi,Coconut Grove Resort,Ocean View Restaurant,Kilinochchi Bag Boutiques,Sithankerni Pillaiyar Kovil,Kilinochchi Cultural Centre,Kilinochchi Fisheries Department Office,Kilinochchi Urban Council Tennis Court,,,,
Kilinochchi,Silver Sands Hotel,Sunflower Restaurant,Kilinochchi Watch Outlets,Maruthanamadam Sivan Kovil,Iranamadu Paddy Fields,Kilinochchi Post Office,Kilinochchi Urban Council Basketball Court,,,,
Kilinochchi,Velvet Villa,Spice Route,Kilinochchi Electronics Stores,Paravipanchan Sivan Kovil,Kilinochchi Library,Kilinochchi Police Station,Kilinochchi Urban Council Volleyball Court,,,,
Kilinochchi,Island Paradise Resort,Red Chillies,Kilinochchi Mobile Phone Shops,Maruthanamadam Mariamman Kovil,Thirunagar Pillaiyar Kovil,Kilinochchi Fire Station,Kilinochchi Urban Council Cricket Ground,,,,
Kilinochchi,Coral Cove Hotel,Golden Spoon,Kilinochchi Computer Dealers,Kachchai Mariamman Kovil,Iranamadu Water Tower,Kilinochchi Government Hospital,Kilinochchi Urban Council Badminton Court,,,,
Kilinochchi,Azure Skies Resort,Rainbow Restaurant,Kilinochchi Appliance Stores,Maviddapuram Kandasamy Kovil,Iranamadu Beach,Kilinochchi District Land Office,Kilinochchi Urban Council Football Field,,,,
Kilinochchi,Emerald Hills Hotel,Blue Wave Restaurant,Kilinochchi Furniture Shops,Vellankulam Pillaiyar Kovil,Kilinochchi Post Office,Kilinochchi District Education Office,Kilinochchi Urban Council Gymnasium,,,,
Kilinochchi,Ivy Cottage,Mango Mango,Kilinochchi Home Decor Stores,Vellankulam Sivan Kovil,Iranamadu Reservoir,Kilinochchi District Agriculture Office,Kilinochchi Urban Council Table Tennis Court,,,,
Kilinochchi,Tranquility Bay Resort,Banana Boat Restaurant,Kilinochchi Kitchenware Shops,Mankulam Vishnu Kovil,Kilinochchi Hindu College,Kilinochchi District Irrigation Office,Kilinochchi Urban Council Cycling Track,,,,
Kilinochchi,Royal Retreat,Coconut Lagoon,Kilinochchi Grocery Stores,Jaffna Naga Poosani Amman Kovil,Kilinochchi Christian College,Kilinochchi District Revenue Office,Kilinochchi Urban Council Walking Path,,,,
Kilinochchi,Pearl Sands Hotel,Pineapple Paradise,Kilinochchi Supermarkets,Katchatheevu Murugan Kovil,Iranamadu Viewpoint,Kilinochchi District Planning Office,Kilinochchi Urban Council Picnic Area,,,,
Kilinochchi,Bamboo Grove Lodge,Starlight Restaurant,Kilinochchi Bakery Shops,Katchatheevu Jesus Church,Iranamadu Waterfall,Kilinochchi District Fisheries Office,Kilinochchi Urban Council Children's Playground,,,,
Kilinochchi,Orchid Oasis Resort,Bamboo Hut,Kilinochchi Sweet Stores,Karainagar Nagapooshani Amman Kovil,Kilinochchi Public Stadium,Kilinochchi District Wildlife Office,Kilinochchi Urban Council Family Park,,,,
Kilinochchi,Pinecrest Inn,Spice Island,Kilinochchi Snack Shops,Karainagar Shiva Kovil,Kilinochchi Children's Park,Kilinochchi District Environmental Office,Kilinochchi Urban Council Water Fountain,,,,
Kilinochchi,Sea Breeze Hotel,Curry House,Kilinochchi Tea Shops,Karainagar St. Mary's Church,Iranamadu Park,Kilinochchi District Cultural Office,Kilinochchi Urban Council Food Court,,,,
Kilinochchi,Palm Springs Resort,Lemon Tree Restaurant,Kilinochchi Spice Markets,Keeramalai Naguleswaram Kovil,Iranamadu Forest Reserve,Kilinochchi District Social Services Office,Kilinochchi Urban Council Ice Cream Parlor,,,,
